Plot,Herbivory,Row,Column,Label,Timepoint
A4,2x2,261,239,Foliose Lobophora,T9
A4,2x2,261,1677,Macroalgae,T9
A4,2x2,261,3116,Macroalgae,T9
A4,2x2,261,4555,No dominance,T9
A4,2x2,261,5994,Available Substrate,T9
A4,2x2,1835,239,Available Substrate,T9
A4,2x2,1835,1677,Macroalgae,T9
A4,2x2,1835,3116,Available Substrate,T9
A4,2x2,1835,4555,Available Substrate,T9
A4,2x2,1835,5994,No dominance,T9
A4,2x2,3410,239,No dominance,T9
A4,2x2,3410,1677,No dominance,T9
A4,2x2,3410,3116,No dominance,T9
A4,2x2,3410,4555,No dominance,T9
A4,2x2,3410,5994,Foliose Lobophora,T9
A4,2x2,4984,239,No dominance,T9
A4,2x2,4984,1677,No dominance,T9
A4,2x2,4984,3116,Foliose Lobophora,T9
A4,2x2,4984,4555,Foliose Lobophora,T9
A4,2x2,4984,5994,No dominance,T9
A4,2x2,6558,239,No dominance,T9
A4,2x2,6558,1677,No dominance,T9
A4,2x2,6558,3116,No dominance,T9
A4,2x2,6558,4555,No dominance,T9
A4,2x2,6558,5994,No dominance,T9
